Event Name,Event Start,Event End,Event Location,Event Description
WHHHS | Winter Graduation Ceremony,2025-01-21 06:00 PM,2025-01-21 07:30 PM,"White House Heritage High School (7744 Highway 76 E, White House, TN 37188, United States)","WH Heritage HS is proud to honor our early graduates this Friday night at 6pm in the Theatre.

Doors Open at 5:30pm. No tickets necessary.
Ceremony will begin at 6:00PM.

Please follow your schools social media for information related to weather changes.



"
Q3 Progress Reports,2025-02-07,2025-02-08,,"Q3 Progress Reports
"
Presidents' Day | Schools Closed,2025-02-17,2025-02-18,,"Presidents' Day | Schools Closed
"
PD/Admin Day | No Students,2025-03-03,2025-03-04,,"Professional Development (3 Hours) / Admin Day (3 Hours) | No students
"
Springbreak | Schools Closed,2025-03-17,2025-03-22,,"Springbreak | Schools Closed
"
Q3 Report Cards,2025-03-28,2025-03-29,,"Q3 Report Cards
"
Good Friday | Schools Closed,2025-04-18,2025-04-19,,"Good Friday | Schools Closed
"
Q4 Progress Reports,2025-04-25,2025-04-26,,"Q4 Progress Reports
"
RCVS/RCPA/RCAHS Graduation Ceremony,2025-05-14 06:00 PM,2025-05-14 08:00 PM,"Innovation Academy of Robertson County (715 5th Ave W, Springfield, TN 37172, United States)","Join Us for RCVS/RCPA/RCAHS Graduation Ceremony!

Celebrate the accomplishments of our talented graduates as they embark on the next chapter of their lives.

Ceremony starts at 6:00pm

"
Springfield High School Graduation Ceremony,2025-05-15 07:00 PM,2025-05-15 09:00 PM,"Springfield High school (5240 Highway 76 E, Springfield, TN 37172, United States)","Join Us for Springfield High School Graduation Ceremony!

Celebrate the accomplishments of our talented graduates as they embark on the next chapter of their lives.

Ceremony starts at 7:00pm
"
East Robertson High School Graduation Ceremony,2025-05-16 07:00 PM,2025-05-16 09:00 PM,"East Robertson High School (158 Kilgore Trce, Cross Plains, TN 37049, United States)","Join Us for East Robertson High School Graduation Ceremony!
Celebrate the accomplishments of our talented graduates as they embark on the next chapter of their lives.

Ceremony starts at May 16th on the field at 7 pm
"
Jo Byrns High School Graduation Ceremony,2025-05-17 10:00 AM,2025-05-17 12:00 PM,"Jo Byrns High School (7025 Highway 41 N, Cedar Hill, TN 37032, United States)","Join Us for Jo Byrns High School Graduation Ceremony!
Celebrate the accomplishments of our talented graduates as they embark on the next chapter of their lives.

Ceremony starts at May 17th on the field at 10 am

"
White House Heritage High School Graduation Ceremony,2025-05-17 07:00 PM,2025-05-17 09:00 PM,"White House Heritage High School (7744 Highway 76 E, White House, TN 37188, United States)","Join Us for White House Heritage High School Graduation Ceremony!
Celebrate the accomplishments of our talented graduates as they embark on the next chapter of their lives.

Ceremony starts at May 17th on the field at 7 pm

"
Greenbrier High School Graduation Ceremony,2025-05-19 06:00 PM,2025-05-19 08:00 PM,"Greenbrier High School (126 Cuniff Dr, Greenbrier, TN 37073, United States)","Join Us for Greenbrier High School Graduation Ceremony!
Celebrate the accomplishments of our talented graduates as they embark on the next chapter of their lives.

Ceremony starts at May 19th on the field at 6 pm

"
Innovation Academy of Robertson County Graduation Ceremony,2025-05-20 07:00 PM,2025-05-20 09:00 PM,"Innovation Academy of Robertson County (715 5th Ave W, Springfield, TN 37172, United States)","Join Us for Innovation Academy of Robertson County Graduation Ceremony!
Celebrate the accomplishments of our talented graduates as they embark on the next chapter of their lives.

This marks the first graduating class in the history of Innovation Academy — a momentous milestone you won’t want to miss!

Ceremony starts at May 20th on the field at 7 pm

"
Report Card Day | 1/2 Day for Students & Staff,2025-05-23,2025-05-24,,"Report Card Day | 1/2 Day for Students & Staff
"
Memorial Day,2025-05-26,2025-05-27,,"Memorial Day
"
Juneteenth,2025-06-19,2025-06-20,,"Juneteenth

"
Admin Day (3 Hours) | No Students,2025-08-04,2025-08-05,,"½ Admin Day (3 hours) No Students
"
1/2 Day for Students | Full day for teachers ,2025-08-05,2025-08-06,,"1/2 Day for Students | Full day for teachers
"
Labor Day | Schools Closed ,2025-09-01,2025-09-02,,"Labor Day | Schools Closed
"
Q1 Progress Reports,2025-09-05,2025-09-06,,"Q1 Progress Reports
"
PD Day (6 Hours) | No Students,2025-09-15,2025-09-16,,"Professional Development Day (6 Hours) - No Students
"
Election Day (Special Primary) – No School for Students,2025-10-07,2025-10-08,,"Schools closed for students on Election Day (Special Primary).

District offices will be open.
"
Fall Break | Schools Closed,2025-10-13,2025-10-18,,"Fall Break | Schools Closed

"
Q1 Report Cards,2025-10-24,2025-10-25,,"Q1 Report Cards
"
PD/Admin Day | No Students,2025-11-03,2025-11-04,,"PD/Admin Day (3 hours PD/3 Hours Admin) | No Students
"
Parent-Teacher Conferences - No Students,2025-11-04,2025-11-05,,"Parent-Teacher Conferences.

No-Students
"
Q2 Prog Reports,2025-11-14,2025-11-15,,"Q2 Prog Reports

"
Thanksgiving | Schools Closed,2025-11-26,2025-11-29,,"Thanksgiving | Schools Close
"
Election Day (Special General) – No School for Students,2025-12-02,2025-12-03,,"Schools closed for students on Election Day (Special General).

District offices will be open.
"
1/2 Day for Students and Staff,2025-12-19,2025-12-20,,"1/2 Day for Students and Staf
"
Winter Break | Schools Closed,2025-12-22,2026-01-03,,"Winter Break | Schools Closed
"
PD/Admin Day | No Students,2026-01-05,2026-01-06,,"Professional Development (3 hours) / Admin Day (3 hours) | No Students
"
Q2 Report Cards,2026-01-09,2026-01-10,,"Q2 Report Cards
"
"MLK, Jr. Day | Schools Closed",2026-01-19,2026-01-20,,"MLK, Jr. Day | Schools Closed
"
Winter Graduation Ceremony,2026-01-22 06:00 PM,2026-01-22 07:30 PM,"Springfield High school (5240 Highway 76 E, Springfield, TN 37172, United States)","Join us as we celebrate the achievements of our graduating students from all Robertson County Schools at the 2026 Winter Graduation Ceremony.


  *
East Robertson High School
  *
Greenbrier High School
  *
Innovation Academy of Robertson County
  *
Jo Byrns High School
  *
Robertson County Phoenix Academy
  *
Springfield High School
  *
White House Heritage High School

Date: January 22, 2026
Time: 6:00 PM - 7:30 PM
Location: Springfied High School
"
Q3 Prog Reports,2026-02-06,2026-02-07,,"Q3 Prog Reports

"
Presidents' Day | Schools Closed,2026-02-16,2026-02-17,,"Presidents' Day | Schools Closed
"
 PD/Admin Day | No Students,2026-03-02,2026-03-03,,"Professional Development (3 Hours) / Admin Day (3 Hours) | No students
"
Springbreak | Schools Closed,2026-03-16,2026-03-21,,"Springbreak | Schools Closed
"
Q3 Report Cards,2026-03-27,2026-03-28,,"Q3 Report Cards

"
Good Friday | Schools Closed,2026-04-03,2026-04-04,,"Good Friday | Schools Closed
"
Q4 Prog Reports,2026-04-24,2026-04-25,,"Q4 Prog Reports


"
Election Day - Schools Closed,2026-05-05,2026-05-06,,"Election Day - Schools Closed
"
RCVS/RCPA/RCAHS Graduation Ceremony 6:00 PM,2026-05-13 06:00 PM,2026-05-13 07:30 PM,"Innovation Academy of Robertson County (715 5th Ave W, Springfield, TN 37172, United States)","Robertson County Virtual School, Robertson County Phoenix Academy, and Robertson County Adult High School Graduation Ceremony 6:00 PM

Location: Innovation Academy of Robertson County
"
Springfield High Graduation Ceremony 7:00 PM,2026-05-14 07:00 PM,2026-05-14 08:30 PM,"Springfield High school (5240 Highway 76 E, Springfield, TN 37172, United States)","Springfield High Graduation Ceremony 7:00 PM

Location: Springfield High School Football Field. Please follow social media page for any updates.
"
East Robertson High School Ceremony 7:00 PM,2026-05-15 07:00 PM,2026-05-15 08:30 PM,"East Robertson High School (158 Kilgore Trace, Cross Plains, TN 37049, United States)","East Robertson High School Ceremony 7:00 PM

Location: East Robertson High School Football Field. Please follow social media page for any updates.

"
Jo Byrns High School Ceremony 10:00 AM,2026-05-16 10:00 AM,2026-05-16 11:30 AM,"Jo Byrns High School (7025 US Highway 41, Cedar Hill, TN 37032, United States)","Jo Byrns High School Ceremony 10:00 AM

Location: Jo Byrns High School Football Field. Please follow social media page for any updates.
"
White House Heritage High School Ceremony 7:00 PM,2026-05-16 07:00 PM,2026-05-16 08:30 PM,"White House Heritage High School (7744 TN-76, White House, TN 37188, United States)","White House Heritage High School Ceremony 7:00 PM

Location: Whtie House Heritage High School Football Field. Please follow social media page for any updates.
"
Greenbrier High School Ceremony 6:00 PM,2026-05-18 06:00 PM,2026-05-18 07:30 PM,"Greenbrier High School (126 Cuniff Dr, Greenbrier, TN 37073, United States)","Greenbrier High School Ceremony 6:00 PM

Location: Greenbrier High School Football Field. Please follow social media page for any updates.
"
Innovation Academy Graduation Ceremony 7:00 PM,2026-05-19 07:00 PM,2026-05-19 08:30 PM,"Innovation Academy of Robertson County (715 5th Ave W, Springfield, TN 37172, United States)","Innovation Academy Graduation Ceremony 7:00 PM

Location: Innovation Academy of Robertson County Football Field. Please follow social media page for any updates.
"
Report Card Day | 1/2 Day for Students & Staff,2026-05-22,2026-05-23,,"Report Card Day | 1/2 Day for Students & Staff
"
Memorial Day,2026-05-25,2026-05-26,,"Memorial Day
"
Juneteenth,2026-06-19,2026-06-20,,"Juneteenth

"
